2017/12/02 14:27:40.88: Hello Kitty
2017/12/02 14:27:43.72: Looking for game on screen...
2017/12/02 14:28:30.22: -------
2017/12/02 14:28:30.25: Vital_Signs() is running....
2017/12/02 14:28:30.25: internet is not connected
2017/12/02 14:28:30.25: Internet is Disconnected, waiting to reconect...
2017/12/02 14:28:30.26: internet is not connected
2017/12/02 14:28:30.26: internet is not connected
2017/12/02 14:28:30.27: internet is not connected
2017/12/02 14:28:30.27: internet is not connected
2017/12/02 14:28:30.27: internet is not connected
2017/12/02 14:28:30.28: internet is not connected
2017/12/02 14:28:30.28: internet is not connected
2017/12/02 14:28:30.29: internet is not connected
2017/12/02 14:28:30.29: internet is not connected
2017/12/02 14:28:30.29: internet is not connected
2017/12/02 14:28:30.30: internet is not connected
2017/12/02 14:28:30.30: internet is not connected
2017/12/02 14:28:30.30: internet is not connected
2017/12/02 14:28:30.31: internet is not connected
2017/12/02 14:28:30.31: internet is not connected
2017/12/02 14:28:30.31: internet is not connected
2017/12/02 14:28:30.32: internet is not connected
2017/12/02 14:28:30.32: internet is not connected
2017/12/02 14:28:30.32: internet is not connected
2017/12/02 14:28:30.33: internet is not connected
2017/12/02 14:28:30.33: internet is not connected
2017/12/02 14:28:30.33: internet is not connected
2017/12/02 14:28:30.34: internet is not connected
2017/12/02 14:28:30.35: internet is not connected
2017/12/02 14:28:30.35: internet is not connected
2017/12/02 14:28:30.36: internet is not connected
2017/12/02 14:28:30.36: internet is not connected
2017/12/02 14:28:30.37: internet is not connected
2017/12/02 14:28:30.37: internet is not connected
2017/12/02 14:28:30.38: internet is not connected
2017/12/02 14:28:30.39: internet is not connected
2017/12/02 14:28:30.39: internet is not connected
2017/12/02 14:28:30.40: internet is not connected
2017/12/02 14:28:30.41: internet is not connected
2017/12/02 14:28:30.41: internet is not connected
2017/12/02 14:28:30.42: internet is not connected
2017/12/02 14:28:30.43: internet is not connected
2017/12/02 14:28:30.43: internet is not connected
2017/12/02 14:28:30.44: internet is not connected
2017/12/02 14:28:30.44: internet is not connected
2017/12/02 14:28:30.45: internet is not connected
2017/12/02 14:28:30.45: internet is not connected
2017/12/02 14:28:30.46: internet is not connected
2017/12/02 14:28:30.47: internet is not connected
2017/12/02 14:28:30.47: internet is not connected
2017/12/02 14:28:30.48: internet is not connected
2017/12/02 14:28:30.48: internet is not connected
2017/12/02 14:28:30.49: internet is not connected
2017/12/02 14:28:30.49: internet is not connected
2017/12/02 14:28:30.50: internet is not connected
2017/12/02 14:28:30.51: internet is not connected
2017/12/02 14:28:30.51: internet is not connected
2017/12/02 14:28:30.52: internet is not connected
2017/12/02 14:28:30.52: internet is not connected
2017/12/02 14:28:30.53: internet is not connected
2017/12/02 14:28:30.54: internet is not connected
2017/12/02 14:28:30.54: internet is not connected
2017/12/02 14:28:30.55: internet is not connected
2017/12/02 14:28:30.56: internet is not connected
2017/12/02 14:28:30.56: internet is not connected
2017/12/02 14:28:30.57: internet is not connected
2017/12/02 14:28:30.57: internet is not connected
2017/12/02 14:28:30.58: internet is not connected
2017/12/02 14:28:30.59: internet is not connected
2017/12/02 14:28:30.59: internet is not connected
2017/12/02 14:28:30.60: internet is not connected
2017/12/02 14:28:30.60: internet is not connected
2017/12/02 14:28:30.61: internet is not connected
2017/12/02 14:28:30.62: internet is not connected
2017/12/02 14:28:30.62: internet is not connected
2017/12/02 14:28:30.63: internet is not connected
2017/12/02 14:28:30.64: internet is not connected
