Hand number,Winning bb,Cards,Hand group,Starting hand ranking,Check fold,Money profit,Scenario list,First scenario,Last scenario,Last 2 scenarios,play version,Blind,Seat position,Small blind,Big blind,dealer,Total players,Website,Game number,Game time,Hand exact ending time
1,0.0,63s,,147,,0.0,[48],48,48,[48],1,1,early_position,False,True,False,6,cheeta,1,21-3,
1,0.0,92,,149,,0.0,[1],[1],[1],[1],1,1,early_position,True,False,False,6,cheeta,2,21-3,
6,0.0,T8s,H,73,0.0,0.0,[20],[20],[20],[20],1,1,middle_position,False,True,False,6,cheeta,3,21-3,
12,0.0,Q8s,,52,0.0,0.0,[20],[20],[20],[20],1,1,early_position,False,True,False,6,cheeta,3,21-3,
1,2.5,KQ,F,23,,2.5,[None],[None],[None],[None],1,1,late_position,False,True,False,6,cheeta,4,21-3,2021-07-06 23-53-30
4,0.0,Q4,,93,0.0,0.0,[None],[None],[None],[None],1,1,early_position,True,False,False,6,cheeta,4,21-3,2021-07-06 23-58-46
8,2.0,Q7,,77,0.0,2.0,[None],[None],[None],[None],1,1,late_position,False,True,False,6,cheeta,4,21-3,2021-07-07 00-01-32
9,0.0,A7,,36,0.0,0.0,[None],[None],[None],[None],1,1,early_position,True,False,False,6,cheeta,4,21-3,2021-07-07 00-01-51
2,0.0,82,,159,0.0,0.0,[1],[1],[1],[1],1,1,early_position,True,False,False,6,cheeta,5,21-3,2021-07-07 00-22-32
6,0.0,A3,,53,0.0,0.0,[33],[33],[33],[33],1,1,early_position,False,True,False,6,cheeta,5,21-3,2021-07-07 00-27-19
14,-0.5,AK,C,12,0.0,-0.5,[3],[3],[3],[3],1,1,early_position,True,False,False,6,cheeta,5,21-3,2021-07-07 00-39-46
2,0.0,72,,165,0.0,0.0,[20],[20],[20],[20],1,1,early_position,True,False,False,6,cheeta,6,21-3,2021-07-07 01-05-39
8,0.0,Q2,,105,0.0,0.0,[48],[48],[48],[48],1,1,early_position,True,False,False,6,cheeta,7,21-3,2021-07-07 01-18-10
1,-0.5,92,,149,,-0.5,[20],[20],[20],[20],1,1,early_position,False,True,False,6,cheeta,8,3-9,2021-07-09 03-41-19
2,0.0,Q9,,56,,0.0,[20],[20],[20],[20],1,1,early_position,True,False,False,6,cheeta,8,3-9,2021-07-09 03-42-04
5,0.0,A3s,G,38,0.0,0.0,[48],[48],[48],[48],1,1,early_position,True,False,False,6,cheeta,8,3-9,2021-07-09 03-44-43
5,0.0,42s,,158,0.0,0.0,[33],[33],[33],[33],1,1,early_position,True,False,False,6,cheeta,9,15-21,2021-07-09 16-22-38
1,0.0,42,,168,,0.0,[20],[20],[20],[20],1,1,early_position,True,False,False,6,cheeta,10,15-21,2021-07-09 18-52-22
3,0.0,92,,149,0.0,0.0,[20],[20],[20],[20],1,1,early_position,False,True,False,6,cheeta,11,15-21,2021-07-09 19-14-30
1,0.0,J7,,92,,0.0,[29],[29],[29],[29],1,1,middle_position,False,False,False,6,cheeta,12,15-21,2021-07-09 19-24-21
1,-1.0,96,,120,,-1.0,[48],[48],[48],[48],1,1,late_position,False,False,False,6,cheeta,13,15-21,2021-07-09 19-34-01
4,0.0,65,,145,0.0,0.0,[17],[17],[17],[17],1,1,late_position,False,False,True,6,cheeta,13,15-21,2021-07-09 19-36-35
5,0.0,82s,,142,0.0,0.0,[17],[17],[17],[17],1,1,late_position,False,False,False,6,cheeta,13,15-21,2021-07-09 19-38-04
2,-0.5,Q3,,98,0.0,-0.5,"[2, 20]",[2],[20],"[2, 20]",1,1,early_position,True,False,False,6,cheeta,14,15-21,2021-07-09 20-45-25
3,0.0,K7,,58,0.0,0.0,[17],[17],[17],[17],1,1,late_position,False,False,True,6,cheeta,14,15-21,2021-07-09 20-47-43
4,0.0,T6,,112,0.0,0.0,[17],[17],[17],[17],1,1,late_position,False,False,False,6,cheeta,14,15-21,2021-07-09 20-49-39
5,0.0,J5s,,90,0.0,0.0,"[7, 50, 53]",[7],[53],"[50, 53]",1,1,early_position,False,True,False,6,cheeta,14,15-21,2021-07-09 20-51-08
